2017-07-16 17:27:53 install libsemanage-common:all <none> 2.6-2
2017-07-16 17:27:53 status half-installed libsemanage-common:all 2.6-2
2017-07-16 17:27:53 status unpacked libsemanage-common:all 2.6-2
2017-07-16 17:27:53 status unpacked libsemanage-common:all 2.6-2
2017-07-16 17:27:53 install libsemanage1:i386 <none> 2.6-2
2017-07-16 17:27:53 status half-installed libsemanage1:i386 2.6-2
2017-07-16 17:27:53 status unpacked libsemanage1:i386 2.6-2
2017-07-16 17:27:53 status unpacked libsemanage1:i386 2.6-2
2017-07-16 17:27:53 install libsepol1:i386 <none> 2.6-2
2017-07-16 17:27:53 status half-installed libsepol1:i386 2.6-2
2017-07-16 17:27:53 status unpacked libsepol1:i386 2.6-2
2017-07-16 17:27:53 status unpacked libsepol1:i386 2.6-2
2017-07-16 17:27:53 install lsb-base:all <none> 9.20161125
2017-07-16 17:27:53 status half-installed lsb-base:all 9.20161125
2017-07-16 17:27:53 status unpacked lsb-base:all 9.20161125
2017-07-16 17:27:53 status unpacked lsb-base:all 9.20161125
2017-07-16 17:27:53 install liblz4-1:i386 <none> 0.0~r131-2+b1
2017-07-16 17:27:53 status half-installed liblz4-1:i386 0.0~r131-2+b1
2017-07-16 17:27:53 status unpacked liblz4-1:i386 0.0~r131-2+b1
2017-07-16 17:27:53 status unpacked liblz4-1:i386 0.0~r131-2+b1
2017-07-16 17:27:53 upgrade mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2017-07-16 17:27:53 status half-configured mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 status half-installed mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 status half-installed mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 status unpacked mawk:i386 1.3.3-17+b3
2017-07-16 17:27:53 install libncursesw5:i386 <none> 6.0+20161126-1
2017-07-16 17:27:53 status half-installed libncursesw5:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked libncursesw5:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked libncursesw5:i386 6.0+20161126-1
2017-07-16 17:27:53 install libtinfo5:i386 <none> 6.0+20161126-1
2017-07-16 17:27:53 status half-installed libtinfo5:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked libtinfo5:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked libtinfo5:i386 6.0+20161126-1
2017-07-16 17:27:53 install ncurses-base:all <none> 6.0+20161126-1
2017-07-16 17:27:53 status half-installed ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:53 status unpacked ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:53 status unpacked ncurses-base:all 6.0+20161126-1
